case,lung_voxels,psnr,ssim,lung_psnr,lung_ssim,laa950_ref,laa950_rec,laa910_ref,laa910_rec,p15_ref,p15_rec,p10_ref,p10_rec,laa950_ref_UL_L,laa950_rec_UL_L,laa950_ref_LL_L,laa950_rec_LL_L,laa950_ref_UL_R,laa950_rec_UL_R,laa950_ref_ML_R,laa950_rec_ML_R,laa950_ref_LL_R,laa950_rec_LL_R
CT00000100,6938630,32.862560970793595,0.8355863094329834,31.13748766557704,0.8381686210632324,0.4116806983947754,0.2532055974006653,2.760847568511963,0.6781741976737976,-873.0000257492065,-867.6666617393494,-884.0000033378601,-875.333309173584,0.38757383823394775,0.2952404022216797,0.8430002927780151,0.6357757449150085,0.11960921436548233,0.06342101097106934,0.07002589106559753,0.005541617516428232,0.28632572293281555,0.010082301683723927
CT00000101,6584511,34.375068524224936,0.8859758973121643,31.99514879985808,0.8631706833839417,0.11830794811248779,0.0659881979227066,1.7436527013778687,0.6023833751678467,-879.0000081062317,-875.6666779518127,-885.9999775886536,-881.3332915306091,0.09775461256504059,0.0632983148097992,0.18965624272823334,0.1414792686700821,0.073343925178051,0.039953138679265976,0.4561958312988281,0.10543948411941528,0.06119461730122566,0.010222282260656357
CT00000102,8020076,34.36023526505652,0.8835536241531372,32.74811939930491,0.8684810400009155,1.0467232465744019,0.4101831316947937,16.31847381591797,13.80662727355957,-912.0000004768372,-909.3332886695862,-919.0000295639038,-913.9999747276306,0.6141790151596069,0.17576849460601807,1.4567208290100098,0.9514378905296326,0.6189557909965515,0.1761532723903656,1.5894629955291748,0.6821073889732361,1.2840864658355713,0.15560397505760193
CT00000103,9087718,33.916272914644324,0.8817939758300781,32.20902148457966,0.8670486211776733,0.5295058488845825,0.17282666265964508,12.26020622253418,10.458555221557617,-907.0000052452087,-905.3333401679993,-913.9999747276306,-910.6667041778564,0.5566456317901611,0.3061182200908661,0.639686644077301,0.14838770031929016,0.37213823199272156,0.08207853883504868,0.3932451903820038,0.17776499688625336,0.6109589338302612,0.09567475318908691
CT00000104,9818365,34.21674583931971,0.8732585310935974,32.894521187489254,0.8760062456130981,0.605070173740387,0.19062237441539764,9.706351280212402,5.212212085723877,-902.999997138977,-899.6666669845581,-910.0000262260437,-903.9999842643738,0.8097783923149109,0.48677992820739746,0.42488136887550354,0.05359801650047302,0.48914048075675964,0.07733707129955292,0.6083411574363708,0.17053104937076569,0.7514942288398743,0.08312015980482101
CT00000105,12045695,33.43294516692869,0.8607012033462524,32.050172350105036,0.8516250848770142,0.9783910512924194,0.3926464915275574,13.904054641723633,13.859482765197754,-908.9999794960022,-908.9999794960022,-916.9999957084656,-914.6667122840881,0.42997902631759644,0.22069482505321503,1.2296572923660278,0.6609166264533997,0.3757845461368561,0.15934154391288757,1.3067108392715454,0.3608545958995819,1.7207494974136353,0.5007703304290771
CT00000106,8282401,32.39661234114364,0.8214495778083801,29.99349125773003,0.8235853910446167,0.34171250462532043,0.17677241563796997,3.032128095626831,1.2554209232330322,-875.0,-871.3333010673523,-885.9999775886536,-879.0000081062317,0.18294917047023773,0.08818807452917099,0.6823477745056152,0.4101499319076538,0.13222260773181915,0.07959576696157455,0.27995118498802185,0.0,0.15251195430755615,0.024569233879446983
CT00000107,9939879,32.859938206362884,0.8505703806877136,30.90227494587875,0.8355135917663574,1.0461797714233398,0.6075124144554138,9.006306648254395,5.773360252380371,-899.9999761581421,-897.0000147819519,-907.9999923706055,-903.333306312561,0.6036050319671631,0.37335318326950073,1.7350367307662964,1.5524559020996094,0.6509368419647217,0.22948110103607178,0.3759426176548004,0.020619770511984825,1.113537073135376,0.18273133039474487
CT00000108,10109745,33.97533710388734,0.8619713187217712,32.14345333912165,0.8589664697647095,0.9694111943244934,0.34136369824409485,11.803028106689453,8.808293342590332,-906.000018119812,-902.999997138977,-913.9999747276306,-908.6666703224182,0.5569319725036621,0.18991270661354065,1.5762038230895996,0.8921182155609131,0.3266132175922394,0.05515085533261299,2.084287643432617,0.37439656257629395,1.1947096586227417,0.08857152611017227
CT00000109,9802588,33.765333100567275,0.8643014430999756,32.24754852141706,0.8636170625686646,0.7249820232391357,0.4480551481246948,7.983351230621338,7.272548675537109,-897.0000147819519,-898.0000019073486,-906.000018119812,-905.3333401679993,0.37643030285835266,0.21469232439994812,1.3778434991836548,1.1392152309417725,0.2846318781375885,0.13610807061195374,0.9408643245697021,0.4390362501144409,0.7575316429138184,0.19859842956066132
CT00000110,7408080,32.271163633674284,0.8140353560447693,30.02430903481246,0.8104613423347473,0.3651418387889862,0.284162700176239,1.718353509902954,0.4153032898902893,-859.000027179718,-853.6666631698608,-871.999979019165,-861.9999885559082,0.3098960518836975,0.28191056847572327,0.6648805737495422,0.6064668297767639,0.13425114750862122,0.07981297373771667,0.071602463722229,0.03818798065185547,0.24253322184085846,0.06527887284755707
CT00000111,7883004,32.7058830827564,0.8276546001434326,30.35679531190056,0.8315145969390869,0.2936190366744995,0.18509441614151,1.0840791463851929,0.24101218581199646,-847.9999899864197,-841.6666984558105,-859.000027179718,-848.9999771118164,0.308300644159317,0.23808413743972778,0.45601212978363037,0.33632925152778625,0.10710040479898453,0.09192520380020142,0.12808078527450562,0.0397321917116642,0.249929741024971,0.053065225481987
CT00000112,11955879,33.120573257527425,0.8422158360481262,31.57623789470321,0.834437370300293,1.282297968864441,0.410040944814682,15.212549209594727,8.270400047302246,-911.0000133514404,-903.9999842643738,-917.9999828338623,-908.3333015441895,0.9218447804450989,0.11418190598487854,2.16876482963562,1.317474603652954,0.7676349878311157,0.09588778018951416,0.9499995112419128,0.05306536704301834,1.2743284702301025,0.09692011028528214
CT00000113,8364186,32.64933276287445,0.8381240367889404,30.73606049485598,0.837458074092865,0.4212245047092438,0.30759719014167786,2.835111618041992,1.3815809488296509,-874.0000128746033,-872.6667165756226,-884.9999904632568,-880.6666731834412,0.3360847234725952,0.2921467423439026,0.8768792748451233,0.718375563621521,0.13154162466526031,0.09201519936323166,0.3528333008289337,0.017191413789987564,0.23003070056438446,0.03159703314304352
CT00000114,12276109,33.32295244416762,0.8509516716003418,31.404958883702502,0.8353149890899658,1.449791669845581,0.4231308102607727,14.652427673339844,10.836870193481445,-910.0000262260437,-905.3333401679993,-919.0000295639038,-911.3333225250244,0.7961705923080444,0.24534478783607483,2.0369925498962402,0.8826368451118469,0.5952351093292236,0.11765225231647491,1.6088205575942993,0.968782365322113,2.001460075378418,0.2299603968858719
