case,lung_voxels,psnr,ssim,lung_psnr,lung_ssim,laa950_ref,laa950_rec,laa910_ref,laa910_rec,p15_ref,p15_rec,p10_ref,p10_rec,laa950_ref_UL_L,laa950_rec_UL_L,laa950_ref_LL_L,laa950_rec_LL_L,laa950_ref_UL_R,laa950_rec_UL_R,laa950_ref_ML_R,laa950_rec_ML_R,laa950_ref_LL_R,laa950_rec_LL_R
CT00000100,6938630,28.226774423390864,0.70686274766922,26.881208877100594,0.7237451672554016,0.4116806983947754,0.23471492528915405,2.760847568511963,1.1623332500457764,-873.0000257492065,-871.9273805618286,-884.0000033378601,-880.2369832992554,0.38757383823394775,0.222563236951828,0.8430002927780151,0.6516899466514587,0.11960921436548233,0.03596312925219536,0.07002589106559753,0.0,0.28632572293281555,0.018241390585899353
CT00000101,6584511,28.379583228114083,0.7599167227745056,27.43395254696,0.7507495880126953,0.11830794811248779,0.06779547035694122,1.7436527013778687,1.125110149383545,-879.0000081062317,-881.1210989952087,-885.9999775886536,-886.7170214653015,0.09775461256504059,0.042437393218278885,0.18965624272823334,0.11680642515420914,0.073343925178051,0.02747180312871933,0.4561958312988281,0.5127420425415039,0.06119461730122566,0.018149767071008682
CT00000102,8020076,28.587284070532153,0.7610743641853333,27.963890555921513,0.7635592222213745,1.0467232465744019,0.6564401388168335,16.31847381591797,20.889190673828125,-912.0000004768372,-915.1222109794617,-919.0000295639038,-920.3590750694275,0.6141790151596069,0.3779146075248718,1.4567208290100098,1.0442484617233276,0.6189557909965515,0.33680975437164307,1.5894629955291748,1.4074828624725342,1.2840864658355713,0.6446375250816345
CT00000103,9087718,28.292979863409244,0.7577913403511047,27.63857512772368,0.7614378929138184,0.5295058488845825,0.31228962540626526,12.26020622253418,16.65333366394043,-907.0000052452087,-911.7230176925659,-913.9999747276306,-917.4558520317078,0.5566456317901611,0.34220752120018005,0.639686644077301,0.3889596164226532,0.37213823199272156,0.1905883252620697,0.3932451903820038,0.1072486862540245,0.6109589338302612,0.4320347309112549
CT00000104,9818365,28.69299212386695,0.7396376729011536,28.037037981614045,0.7775399684906006,0.605070173740387,0.2591266334056854,9.706351280212402,11.023526191711426,-902.999997138977,-906.3801169395447,-910.0000262260437,-911.0575914382935,0.8097783923149109,0.4568620026111603,0.42488136887550354,0.09403812885284424,0.48914048075675964,0.09617558866739273,0.6083411574363708,0.30306383967399597,0.7514942288398743,0.4306170344352722
CT00000105,12045695,28.699280840674454,0.7427183985710144,27.964784989370376,0.7536242604255676,0.9783910512924194,0.5660528540611267,13.904054641723633,19.673974990844727,-908.9999794960022,-914.9394631385803,-916.9999957084656,-921.0311770439148,0.42997902631759644,0.2292003631591797,1.2296572923660278,0.7320178151130676,0.3757845461368561,0.15151454508304596,1.3067108392715454,0.9991189241409302,1.7207494974136353,1.009796380996704
CT00000106,8282401,28.26119050825784,0.6822316646575928,26.37312832742324,0.7087607979774475,0.34171250462532043,0.1706027090549469,3.032128095626831,1.9768905639648438,-875.0,-876.423716545105,-885.9999775886536,-884.5810890197754,0.18294917047023773,0.07827874273061752,0.6823477745056152,0.4099361002445221,0.13222260773181915,0.06236562505364418,0.27995118498802185,0.0003120971960015595,0.15251195430755615,0.018655307590961456
CT00000107,9939879,28.217366304819024,0.7235589027404785,27.097386003337867,0.7318552732467651,1.0461797714233398,0.6046753525733948,9.006306648254395,9.37724781036377,-899.9999761581421,-902.6556611061096,-907.9999923706055,-909.0827107429504,0.6036050319671631,0.3113786280155182,1.7350367307662964,1.5137345790863037,0.6509368419647217,0.15615510940551758,0.3759426176548004,0.0651732087135315,1.113537073135376,0.318887859582901
CT00000108,10109745,29.2107922141562,0.7449000477790833,28.09928800664403,0.7664645910263062,0.9694111943244934,0.48340487480163574,11.803028106689453,13.98319149017334,-906.000018119812,-908.8239669799805,-913.9999747276306,-914.9439334869385,0.5569319725036621,0.17714546620845795,1.5762038230895996,1.0982794761657715,0.3266132175922394,0.11382105946540833,2.084287643432617,0.7479121685028076,1.1947096586227417,0.39329683780670166
CT00000109,9802588,28.80089738369857,0.7543943524360657,28.109200482514773,0.7723296880722046,0.7249820232391357,0.6051973104476929,7.983351230621338,10.220475196838379,-897.0000147819519,-902.7051329612732,-906.000018119812,-910.3732705116272,0.37643030285835266,0.23551662266254425,1.3778434991836548,1.3855096101760864,0.2846318781375885,0.13680557906627655,0.9408643245697021,0.7955316305160522,0.7575316429138184,0.540211021900177
CT00000110,7408080,28.381504547641132,0.6970430612564087,26.711300035222646,0.7013046145439148,0.3651418387889862,0.2493358552455902,1.718353509902954,0.5129804015159607,-859.000027179718,-856.8047285079956,-871.999979019165,-865.9332394599915,0.3098960518836975,0.2181806117296219,0.6648805737495422,0.5888068675994873,0.13425114750862122,0.034405436366796494,0.071602463722229,0.02291278727352619,0.24253322184085846,0.039949167519807816
CT00000111,7883004,28.719467648051413,0.7060672640800476,26.604186259745475,0.7150009274482727,0.2936190366744995,0.1451350301504135,1.0840791463851929,0.24408207833766937,-847.9999899864197,-844.6624279022217,-859.000027179718,-852.7610898017883,0.308300644159317,0.16546019911766052,0.45601212978363037,0.311355859041214,0.10710040479898453,0.03408462554216385,0.12808078527450562,0.013573108240962029,0.249929741024971,0.03741970285773277
CT00000112,11955879,28.61442637199527,0.719565212726593,27.43167991477541,0.7269914746284485,1.282297968864441,0.4529654383659363,15.212549209594727,14.79293155670166,-911.0000133514404,-909.8267555236816,-917.9999828338623,-914.4423604011536,0.9218447804450989,0.1372605860233307,2.16876482963562,1.3345004320144653,0.7676349878311157,0.07811810076236725,0.9499995112419128,0.2296047806739807,1.2743284702301025,0.2366725206375122
CT00000113,8364186,28.569680752677375,0.7244790196418762,26.994111230678584,0.7357274293899536,0.4212245047092438,0.3074178397655487,2.835111618041992,2.0830001831054688,-874.0000128746033,-876.4265179634094,-884.9999904632568,-885.0373029708862,0.3360847234725952,0.23523782193660736,0.8768792748451233,0.7898997068405151,0.13154162466526031,0.0518493726849556,0.3528333008289337,0.05730471387505531,0.23003070056438446,0.04693956673145294
CT00000114,12276109,28.68645979581018,0.7420891523361206,27.59222179388351,0.7389422655105591,1.449791669845581,0.5087442398071289,14.652427673339844,16.2497501373291,-910.0000262260437,-911.3919138908386,-919.0000295639038,-917.498767375946,0.7961705923080444,0.27175891399383545,2.0369925498962402,0.9312009215354919,0.5952351093292236,0.12307077646255493,1.6088205575942993,0.9535385370254517,2.001460075378418,0.4786207973957062
CT00000115,10475359,28.090688314516818,0.6847966909408569,26.86232180256074,0.7115592956542969,2.677731513977051,0.794521689414978,18.78697395324707,19.695755004882812,-916.0000085830688,-914.9330854415894,-925.9999990463257,-921.2585687637329,0.8584865927696228,0.19203992187976837,4.015041828155518,1.4581431150436401,1.3856275081634521,0.15314404666423798,2.9641518592834473,0.9450106620788574,4.052051544189453,1.1528441905975342
CT00000116,10526814,28.28413584224493,0.7243524789810181,27.034044838286334,0.7233240008354187,2.834399938583374,2.2151050567626953,23.469331741333008,27.151947021484375,-921.999990940094,-924.8589873313904,-930.0000071525574,-932.18994140625,1.29935622215271,0.957311749458313,4.653017520904541,4.022440433502197,0.7183606624603271,0.13792842626571655,2.962712049484253,1.3294254541397095,4.267853260040283,3.472020149230957
CT00000117,8259216,28.92771020113067,0.7061715722084045,27.721515364962663,0.7486987113952637,1.3932557106018066,0.46590378880500793,8.685522079467773,6.738654136657715,-894.9999809265137,-894.2495584487915,-907.0000052452087,-902.9828310012817,0.8335579633712769,0.17813125252723694,1.6047024726867676,0.6558889150619507,0.4880717694759369,0.10789164900779724,1.2416713237762451,0.17156128585338593,2.685978889465332,0.9708308577537537
CT00000118,5266123,28.178966142739736,0.7041481137275696,27.075437369995427,0.7237261533737183,0.29537859559059143,0.2790288031101227,0.554563581943512,0.34571921825408936,-806.9999814033508,-803.398847579956,-822.0000267028809,-816.0990476608276,0.3580203354358673,0.3074907958507538,0.5812456607818604,0.6435766816139221,0.04582153260707855,0.011111722327768803,0.001255516428500414,0.0,0.08711075037717819,0.01285240612924099
CT00000119,6397238,28.94921172098779,0.7063024044036865,27.303073568329932,0.7232086658477783,0.2815121114253998,0.26910051703453064,0.46365320682525635,0.3055693805217743,-791.0000085830688,-788.7272834777832,-806.9999814033508,-802.8849959373474,0.7530381679534912,0.8451381325721741,0.23858778178691864,0.16231586039066315,0.036540962755680084,0.007373737171292305,0.009195012040436268,0.0,0.0447995699942112,0.017527218908071518
CT00000120,10057692,28.25709092249488,0.7292931079864502,27.286455207664023,0.7219168543815613,1.390000820159912,0.7209606170654297,14.009844779968262,14.97121810913086,-908.9999794960022,-909.9604487419128,-917.9999828338623,-917.274534702301,0.8221930265426636,0.4800741672515869,2.5998618602752686,1.740382432937622,0.612971305847168,0.1926894634962082,1.4526855945587158,0.7822153568267822,1.425180435180664,0.36150631308555603
CT00000121,8498715,29.296853733013222,0.7389217019081116,27.389709516107523,0.7564142942428589,0.45239779353141785,0.19213493168354034,2.9815566539764404,1.732885479927063,-874.0000128746033,-874.9390840530396,-884.9999904632568,-883.6559653282166,0.7140632271766663,0.3581746816635132,0.48689141869544983,0.1749485582113266,0.20557855069637299,0.03329719230532646,0.30539822578430176,0.15013861656188965,0.2638082504272461,0.1135128065943718
CT00000122,11746906,28.48768450850734,0.7093197703361511,27.419849868636565,0.7337836027145386,1.335636854171753,0.3061401844024658,11.515867233276367,9.844192504882812,-903.9999842643738,-903.62548828125,-913.9999747276306,-909.7860455513,1.7510018348693848,0.6544044017791748,1.1775600910186768,0.18832695484161377,1.617269515991211,0.1608177274465561,0.22704963386058807,0.03578609600663185,0.954858124256134,0.17500336468219757
CT00000123,10020678,28.90827551620671,0.7502373456954956,27.889762714636138,0.754781186580658,0.48468777537345886,0.3056080639362335,3.0032896995544434,1.5577189922332764,-878.000020980835,-879.1132569313049,-887.0000243186951,-886.3682746887207,0.1765957623720169,0.08220652490854263,1.2254928350448608,1.0228407382965088,0.14380714297294617,0.06475882232189178,1.0433522462844849,0.7783845663070679,0.4085586667060852,0.06592775136232376
