case,lung_voxels,psnr,ssim,lung_psnr,lung_ssim,laa950_ref,laa950_rec,laa910_ref,laa910_rec,p15_ref,p15_rec,p10_ref,p10_rec,laa950_ref_UL_L,laa950_rec_UL_L,laa950_ref_LL_L,laa950_rec_LL_L,laa950_ref_UL_R,laa950_rec_UL_R,laa950_ref_ML_R,laa950_rec_ML_R,laa950_ref_LL_R,laa950_rec_LL_R
CT00000100,6938630,29.676967848924313,0.7646764516830444,27.05464995037326,0.7267480492591858,0.4116806983947754,0.21107913553714752,2.760847568511963,0.5561040043830872,-873.0000257492065,-853.9043068885803,-884.0000033378601,-862.3504042625427,0.38757383823394775,0.18534663319587708,0.8430002927780151,0.5969246625900269,0.11960921436548233,0.028596380725502968,0.07002589106559753,0.0,0.28632572293281555,0.023719634860754013
CT00000101,6584511,30.591535160077726,0.8228874206542969,27.62066222382739,0.7509382963180542,0.11830794811248779,0.04805216193199158,1.7436527013778687,0.4144574999809265,-879.0000081062317,-862.9999756813049,-885.9999775886536,-869.0000176429749,0.09775461256504059,0.039079830050468445,0.18965624272823334,0.09596436470746994,0.073343925178051,0.02174583077430725,0.4561958312988281,0.19132165610790253,0.06119461730122566,0.013073395006358624
CT00000102,8020076,30.409972050883116,0.8169050216674805,28.178273587816637,0.763399064540863,1.0467232465744019,0.42529523372650146,16.31847381591797,5.366121292114258,-912.0000004768372,-897.0000147819519,-919.0000295639038,-902.6162624359131,0.6141790151596069,0.1983496993780136,1.4567208290100098,0.9479014277458191,0.6189557909965515,0.15339849889278412,1.5894629955291748,0.6010859608650208,1.2840864658355713,0.22766710817813873
CT00000103,9087718,30.238393916484508,0.8195987343788147,27.82337353491432,0.7609320878982544,0.5295058488845825,0.2238955944776535,12.26020622253418,3.927278518676758,-907.0000052452087,-893.4682607650757,-913.9999747276306,-899.4554281234741,0.5566456317901611,0.3389831781387329,0.639686644077301,0.19180969893932343,0.37213823199272156,0.20915371179580688,0.3932451903820038,0.07653599977493286,0.6109589338302612,0.17066505551338196
CT00000104,9818365,30.546126572136686,0.8121562004089355,28.250560389687585,0.7774810791015625,0.605070173740387,0.195480614900589,9.706351280212402,2.085357427597046,-902.999997138977,-888.0000114440918,-910.0000262260437,-893.0000066757202,0.8097783923149109,0.437338650226593,0.42488136887550354,0.04995543509721756,0.48914048075675964,0.10500466823577881,0.6083411574363708,0.13419289886951447,0.7514942288398743,0.2099239081144333
CT00000105,12045695,30.33631424611854,0.7996788620948792,28.225561531674437,0.7533811330795288,0.9783910512924194,0.316694051027298,13.904054641723633,5.752976417541504,-908.9999794960022,-896.8402743339539,-916.9999957084656,-902.999997138977,0.42997902631759644,0.17789757251739502,1.2296572923660278,0.6229130625724792,0.3757845461368561,0.10917763411998749,1.3067108392715454,0.4702650010585785,1.7207494974136353,0.30851230025291443
CT00000106,8282401,29.693616923337643,0.7549747228622437,26.6035517781794,0.7120703458786011,0.34171250462532043,0.14441464841365814,3.032128095626831,0.6957523822784424,-875.0,-857.9999804496765,-885.9999775886536,-866.5403127670288,0.18294917047023773,0.07041103392839432,0.6823477745056152,0.34635913372039795,0.13222260773181915,0.044479988515377045,0.27995118498802185,0.0,0.15251195430755615,0.016972484067082405
CT00000107,9939879,29.842838225676253,0.7866273522377014,27.317359723308265,0.7318567037582397,1.0461797714233398,0.5229138135910034,9.006306648254395,2.362835645675659,-899.9999761581421,-884.4507932662964,-907.9999923706055,-891.0979628562927,0.6036050319671631,0.27006226778030396,1.7350367307662964,1.4112695455551147,0.6509368419647217,0.1170741617679596,0.3759426176548004,0.057072579860687256,1.113537073135376,0.1815420240163803
CT00000108,10109745,30.959456579732443,0.8038342595100403,28.34373253982051,0.7669103741645813,0.9694111943244934,0.354638010263443,11.803028106689453,3.158813714981079,-906.000018119812,-890.5450105667114,-913.9999747276306,-896.884560585022,0.5569319725036621,0.13580763339996338,1.5762038230895996,0.9297914505004883,0.3266132175922394,0.04433527588844299,2.084287643432617,0.2639862895011902,1.1947096586227417,0.2010892629623413
CT00000109,9802588,30.776380997294666,0.8120844960212708,28.366090777274415,0.7720597982406616,0.7249820232391357,0.4200013279914856,7.983351230621338,3.0383505821228027,-897.0000147819519,-884.3809366226196,-906.000018119812,-892.1644687652588,0.37643030285835266,0.15890184044837952,1.3778434991836548,1.0865727663040161,0.2846318781375885,0.08858417719602585,0.9408643245697021,0.277499258518219,0.7575316429138184,0.2622448801994324
CT00000110,7408080,29.7761467687954,0.7474278807640076,26.89962176418551,0.7047850489616394,0.3651418387889862,0.23103152215480804,1.718353509902954,0.3313814103603363,-859.000027179718,-838.8605117797852,-871.999979019165,-848.0230569839478,0.3098960518836975,0.192118301987648,0.6648805737495422,0.5583689212799072,0.13425114750862122,0.027028299868106842,0.071602463722229,0.02004868909716606,0.24253322184085846,0.03314816951751709
CT00000111,7883004,30.118361642288498,0.7640112638473511,26.81354864353784,0.7202840447425842,0.2936190366744995,0.13610294461250305,1.0840791463851929,0.19332732260227203,-847.9999899864197,-826.5433311462402,-859.000027179718,-834.9205851554871,0.308300644159317,0.15272091329097748,0.45601212978363037,0.2997707426548004,0.10710040479898453,0.027172358706593513,0.12808078527450562,0.011105270124971867,0.249929741024971,0.03223774954676628
CT00000112,11955879,29.902165424646107,0.774027943611145,27.625576086186463,0.7266022562980652,1.282297968864441,0.3986072540283203,15.212549209594727,2.750521421432495,-911.0000133514404,-891.8341994285583,-917.9999828338623,-896.7691659927368,0.9218447804450989,0.10264256596565247,2.16876482963562,1.2186459302902222,0.7676349878311157,0.06152799353003502,0.9499995112419128,0.2661033868789673,1.2743284702301025,0.17739875614643097
CT00000113,8364186,30.00719949667115,0.7821167707443237,27.205965375528297,0.7374234795570374,0.4212245047092438,0.25116610527038574,2.835111618041992,0.7934783101081848,-874.0000128746033,-858.3041429519653,-884.9999904632568,-867.1064376831055,0.3360847234725952,0.20865170657634735,0.8768792748451233,0.645305871963501,0.13154162466526031,0.040514588356018066,0.3528333008289337,0.026196440681815147,0.23003070056438446,0.02092163637280464
CT00000114,12276109,30.337201650522147,0.7915202975273132,27.805653982151103,0.7390208840370178,1.449791669845581,0.3681704103946686,14.652427673339844,4.221321105957031,-910.0000262260437,-893.1090831756592,-919.0000295639038,-899.5519876480103,0.7961705923080444,0.21741332113742828,2.0369925498962402,0.7729780077934265,0.5952351093292236,0.07922085374593735,1.6088205575942993,0.6592934727668762,2.001460075378418,0.2337500900030136
CT00000115,10475359,29.26763341697046,0.7438499331474304,27.170629289626973,0.7124360799789429,2.677731513977051,0.3924638628959656,18.78697395324707,6.358837127685547,-916.0000085830688,-896.9864845275879,-925.9999990463257,-903.5383462905884,0.8584865927696228,0.13069941103458405,4.015041828155518,0.8088487982749939,1.3856275081634521,0.05352170392870903,2.9641518592834473,0.4078054428100586,4.052051544189453,0.44378259778022766
CT00000116,10526814,29.84138585723492,0.7831404805183411,27.204299629450873,0.7232633233070374,2.834399938583374,0.6977514624595642,23.469331741333008,12.637185096740723,-921.999990940094,-906.8202376365662,-930.0000071525574,-914.0746593475342,1.29935622215271,0.39467471837997437,4.653017520904541,1.4803119897842407,0.7183606624603271,0.05217033624649048,2.962712049484253,0.5118629336357117,4.267853260040283,0.7460352778434753
CT00000117,8259216,30.59590134646021,0.7676071524620056,28.018122774791223,0.7517133355140686,1.3932557106018066,0.2681005001068115,8.685522079467773,2.200983762741089,-894.9999809265137,-875.8525252342224,-907.0000052452087,-884.8168253898621,0.8335579633712769,0.15947112441062927,1.6047024726867676,0.5507441759109497,0.4880717694759369,0.07711294293403625,1.2416713237762451,0.07427855581045151,2.685978889465332,0.23646578192710876
