case,lung_voxels,psnr,ssim,lung_psnr,lung_ssim,laa950_ref,laa950_rec,laa910_ref,laa910_rec,p15_ref,p15_rec,p10_ref,p10_rec,laa950_ref_UL_L,laa950_rec_UL_L,laa950_ref_LL_L,laa950_rec_LL_L,laa950_ref_UL_R,laa950_rec_UL_R,laa950_ref_ML_R,laa950_rec_ML_R,laa950_ref_LL_R,laa950_rec_LL_R
CT00000100,6938630,32.790134495433875,0.8336309194564819,31.006883070366655,0.8404182195663452,0.4116806983947754,0.25064024329185486,2.760847568511963,0.4330970346927643,-873.0000257492065,-860.0000143051147,-884.0000033378601,-867.3332929611206,0.38757383823394775,0.28997230529785156,0.8430002927780151,0.6253550052642822,0.11960921436548233,0.06857773661613464,0.07002589106559753,0.0,0.28632572293281555,0.012005515396595001
CT00000101,6584511,34.2791035592639,0.8866198062896729,31.89488753141928,0.8682881593704224,0.11830794811248779,0.07093920558691025,1.7436527013778687,0.3163180947303772,-879.0000081062317,-867.9999709129333,-885.9999775886536,-872.6667165756226,0.09775461256504059,0.06742646545171738,0.18965624272823334,0.1414792686700821,0.073343925178051,0.04497140645980835,0.4561958312988281,0.1806926727294922,0.06119461730122566,0.009944125078618526
CT00000102,8020076,34.241474804976065,0.8846198916435242,32.512093517638135,0.8715555667877197,1.0467232465744019,0.36697906255722046,16.31847381591797,6.762554168701172,-912.0000004768372,-901.3333320617676,-919.0000295639038,-905.3333401679993,0.6141790151596069,0.134254589676857,1.4567208290100098,0.9224561452865601,0.6189557909965515,0.1634027510881424,1.5894629955291748,0.7487062215805054,1.2840864658355713,0.05534449219703674
CT00000103,9087718,33.82509967452645,0.881417453289032,32.01860414508468,0.8688420057296753,0.5295058488845825,0.15048882365226746,12.26020622253418,4.63729190826416,-907.0000052452087,-897.3333239555359,-913.9999747276306,-902.6666879653931,0.5566456317901611,0.3037485182285309,0.639686644077301,0.10886141657829285,0.37213823199272156,0.07123244553804398,0.3932451903820038,0.20208944380283356,0.6109589338302612,0.0195150189101696
CT00000104,9818365,34.007936890606906,0.8714642524719238,32.57294473943796,0.8768485188484192,0.605070173740387,0.1764855980873108,9.706351280212402,1.7179845571517944,-902.999997138977,-891.3333415985107,-910.0000262260437,-896.0000276565552,0.8097783923149109,0.4889662265777588,0.42488136887550354,0.04348798841238022,0.48914048075675964,0.0696883499622345,0.6083411574363708,0.13557633757591248,0.7514942288398743,0.03518955782055855
CT00000105,12045695,33.39592794769715,0.8589861989021301,31.938694813857577,0.8543009161949158,0.9783910512924194,0.3202720880508423,13.904054641723633,7.182948112487793,-908.9999794960022,-900.6667137145996,-916.9999957084656,-906.000018119812,0.42997902631759644,0.2143755555152893,1.2296572923660278,0.630237340927124,0.3757845461368561,0.16943657398223877,1.3067108392715454,0.20106658339500427,1.7207494974136353,0.2718595862388611
CT00000106,8282401,32.366428962157734,0.8190504908561707,29.961139565982133,0.8271622061729431,0.34171250462532043,0.16950398683547974,3.032128095626831,0.6586616635322571,-875.0,-863.3332848548889,-885.9999775886536,-870.6666827201843,0.18294917047023773,0.08903460204601288,0.6823477745056152,0.3890170156955719,0.13222260773181915,0.08390329778194427,0.27995118498802185,0.0,0.15251195430755615,0.021107424050569534
CT00000107,9939879,32.83786127836758,0.8499599695205688,30.832082718659663,0.8397810459136963,1.0461797714233398,0.5851379036903381,9.006306648254395,2.519819498062134,-899.9999761581421,-888.6666893959045,-907.9999923706055,-895.3332901000977,0.6036050319671631,0.3815392255783081,1.7350367307662964,1.5010007619857788,0.6509368419647217,0.23487932980060577,0.3759426176548004,0.008468834683299065,1.113537073135376,0.1400313526391983
CT00000108,10109745,33.94614288597555,0.8614366054534912,32.0830309891534,0.8621398210525513,0.9694111943244934,0.3083658516407013,11.803028106689453,3.712200403213501,-906.000018119812,-895.3332901000977,-913.9999747276306,-899.9999761581421,0.5569319725036621,0.1867598295211792,1.5762038230895996,0.8365086913108826,0.3266132175922394,0.03553689271211624,2.084287643432617,0.2269870936870575,1.1947096586227417,0.05319198593497276
CT00000109,9802588,33.83683975462055,0.8660430908203125,32.31080931720495,0.8688448667526245,0.7249820232391357,0.3783286511898041,7.983351230621338,3.410487174987793,-897.0000147819519,-888.6666893959045,-906.000018119812,-896.0000276565552,0.37643030285835266,0.20878691971302032,1.3778434991836548,1.0010758638381958,0.2846318781375885,0.1282494217157364,0.9408643245697021,0.18837541341781616,0.7575316429138184,0.09284947067499161
CT00000110,7408080,32.308991944948964,0.8135346174240112,30.12361388559882,0.8159825205802917,0.3651418387889862,0.28702443838119507,1.718353509902954,0.35758253931999207,-859.000027179718,-846.0000157356262,-871.999979019165,-853.9999723434448,0.3098960518836975,0.2874811291694641,0.6648805737495422,0.5980189442634583,0.13425114750862122,0.08827124536037445,0.071602463722229,0.04009737819433212,0.24253322184085846,0.07556069642305374
CT00000111,7883004,32.733090969544214,0.8265702128410339,30.383715616988518,0.835473895072937,0.2936190366744995,0.19237589836120605,1.0840791463851929,0.23341356217861176,-847.9999899864197,-833.3333134651184,-859.000027179718,-840.6667113304138,0.308300644159317,0.25338131189346313,0.45601212978363037,0.3422344923019409,0.10710040479898453,0.09939362853765488,0.12808078527450562,0.04343394562602043,0.249929741024971,0.054510194808244705
CT00000112,11955879,33.06808059242788,0.8415061235427856,31.482747776976495,0.8388432264328003,1.282297968864441,0.38495704531669617,15.212549209594727,2.902003288269043,-911.0000133514404,-896.0000276565552,-917.9999828338623,-899.9999761581421,0.9218447804450989,0.10863938927650452,2.16876482963562,1.2546405792236328,0.7676349878311157,0.09661074727773666,0.9499995112419128,0.011907350271940231,1.2743284702301025,0.067417673766613
CT00000113,8364186,32.77911826596617,0.8408846855163574,30.838993678441383,0.8432685732841492,0.4212245047092438,0.2922818660736084,2.835111618041992,0.6764316558837891,-874.0000128746033,-863.3332848548889,-884.9999904632568,-871.3333010673523,0.3360847234725952,0.2947237491607666,0.8768792748451233,0.6620063185691833,0.13154162466526031,0.09945546835660934,0.3528333008289337,0.004911832511425018,0.23003070056438446,0.024033058434724808
CT00000114,12276109,33.338156016425245,0.8504945039749146,31.387492398527662,0.8396405577659607,1.449791669845581,0.38093504309654236,14.652427673339844,5.152479648590088,-910.0000262260437,-897.3333239555359,-919.0000295639038,-903.333306312561,0.7961705923080444,0.23980183899402618,2.0369925498962402,0.8346723318099976,0.5952351093292236,0.11378904432058334,1.6088205575942993,0.8614741563796997,2.001460075378418,0.1433253139257431
CT00000115,10475359,32.32204625270577,0.8165424466133118,30.9020211066313,0.8236554265022278,2.677731513977051,0.33069032430648804,18.78697395324707,7.3724822998046875,-916.0000085830688,-900.6667137145996,-925.9999990463257,-906.6666960716248,0.8584865927696228,0.15563653409481049,4.015041828155518,0.7253685593605042,1.3856275081634521,0.06818395107984543,2.9641518592834473,0.07478300482034683,4.052051544189453,0.2861654758453369
CT00000116,10526814,33.00589801174304,0.8490010499954224,31.08396126204612,0.8402899503707886,2.834399938583374,0.4748540222644806,23.469331741333008,15.502240180969238,-921.999990940094,-911.3333225250244,-930.0000071525574,-917.3333048820496,1.29935622215271,0.34519174695014954,4.653017520904541,1.0829318761825562,0.7183606624603271,0.07428061962127686,2.962712049484253,0.25658804178237915,4.267853260040283,0.32671576738357544
CT00000117,8259216,32.682799479648345,0.8194153308868408,30.718499092951795,0.8288187384605408,1.3932557106018066,0.30432671308517456,8.685522079467773,2.4155683517456055,-894.9999809265137,-881.3332915306091,-907.0000052452087,-888.6666893959045,0.8335579633712769,0.2610270082950592,1.6047024726867676,0.5551695227622986,0.4880717694759369,0.15169978141784668,1.2416713237762451,0.14578552544116974,2.685978889465332,0.18676315248012543
