case,lung_voxels,psnr,ssim,lung_psnr,lung_ssim,laa950_ref,laa950_rec,laa910_ref,laa910_rec,p15_ref,p15_rec,p10_ref,p10_rec,laa950_ref_UL_L,laa950_rec_UL_L,laa950_ref_LL_L,laa950_rec_LL_L,laa950_ref_UL_R,laa950_rec_UL_R,laa950_ref_ML_R,laa950_rec_ML_R,laa950_ref_LL_R,laa950_rec_LL_R
CT00000100,6938630,30.78338603938645,0.8209117650985718,30.413216171333485,0.8014590740203857,0.4116806983947754,0.27708640694618225,2.760847568511963,1.3952466249465942,-873.0000257492065,-865.1289343833923,-884.0000033378601,-874.6646642684937,0.38757383823394775,0.2811921238899231,0.8430002927780151,0.6647158265113831,0.11960921436548233,0.07842238992452621,0.07002589106559753,0.029219437390565872,0.28632572293281555,0.07552984356880188
CT00000101,6584511,31.135424273447995,0.8684377670288086,31.168419741453324,0.8239829540252686,0.11830794811248779,0.1262204647064209,1.7436527013778687,1.6009085178375244,-879.0000081062317,-874.378502368927,-885.9999775886536,-882.0703625679016,0.09775461256504059,0.09742436558008194,0.18965624272823334,0.17991696298122406,0.073343925178051,0.09180857986211777,0.4561958312988281,0.6075525283813477,0.06119461730122566,0.06355895102024078
CT00000102,8020076,31.296213523458732,0.8642250299453735,31.812681050946686,0.8296563625335693,1.0467232465744019,0.8307651877403259,16.31847381591797,12.740228652954102,-912.0000004768372,-907.0654511451721,-919.0000295639038,-914.0820503234863,0.6141790151596069,0.5593037605285645,1.4567208290100098,1.3260873556137085,0.6189557909965515,0.37172654271125793,1.5894629955291748,1.148298978805542,1.2840864658355713,0.846099853515625
CT00000103,9087718,30.79784099424007,0.8611195087432861,31.37998554685594,0.8247978687286377,0.5295058488845825,0.5250822901725769,12.26020622253418,9.815621376037598,-907.0000052452087,-902.4001955986023,-913.9999747276306,-909.6921682357788,0.5566456317901611,0.5318998098373413,0.639686644077301,0.7104225158691406,0.37213823199272156,0.3139015734195709,0.3932451903820038,0.26953449845314026,0.6109589338302612,0.6707465648651123
CT00000104,9818365,31.53666324006398,0.8546026349067688,31.927211188717173,0.8324373960494995,0.605070173740387,0.43689554929733276,9.706351280212402,7.326932430267334,-902.999997138977,-898.5808491706848,-910.0000262260437,-905.3017497062683,0.8097783923149109,0.6672463417053223,0.42488136887550354,0.3252306878566742,0.48914048075675964,0.2509441673755646,0.6083411574363708,0.44970762729644775,0.7514942288398743,0.4974316954612732
CT00000105,12045695,31.329968346333512,0.840336799621582,31.374906930129363,0.8132025003433228,0.9783910512924194,0.7337891459465027,13.904054641723633,11.58425521850586,-908.9999794960022,-905.0742387771606,-916.9999957084656,-912.5869274139404,0.42997902631759644,0.35950884222984314,1.2296572923660278,1.00260329246521,0.3757845461368561,0.28862032294273376,1.3067108392715454,1.0093276500701904,1.7207494974136353,1.166975736618042
CT00000106,8282401,30.674783019933255,0.807020902633667,29.44458502468709,0.7922582626342773,0.34171250462532043,0.214442640542984,3.032128095626831,1.8147997856140137,-875.0,-868.9751029014587,-885.9999775886536,-878.5873055458069,0.18294917047023773,0.09670312702655792,0.6823477745056152,0.4807474613189697,0.13222260773181915,0.10029066354036331,0.27995118498802185,0.014356471598148346,0.15251195430755615,0.058273795992136
CT00000107,9939879,30.693335663156496,0.8308894038200378,30.31817057290414,0.8003807663917542,1.0461797714233398,0.7648181915283203,9.006306648254395,6.531367301940918,-899.9999761581421,-894.5817947387695,-907.9999923706055,-902.5723934173584,0.6036050319671631,0.41459232568740845,1.7350367307662964,1.551342248916626,0.6509368419647217,0.3154591917991638,0.3759426176548004,0.3056144714355469,1.113537073135376,0.6544259786605835
CT00000108,10109745,31.633487243859907,0.8438113331794739,31.266836918805506,0.8180479407310486,0.9694111943244934,0.609540581703186,11.803028106689453,8.430607795715332,-906.000018119812,-899.4532227516174,-913.9999747276306,-907.090961933136,0.5569319725036621,0.3209715485572815,1.5762038230895996,1.2765125036239624,0.3266132175922394,0.14261968433856964,2.084287643432617,0.6865405440330505,1.1947096586227417,0.5673484802246094
CT00000109,9802588,30.987631386229005,0.8416975140571594,31.291861406622093,0.8188105225563049,0.7249820232391357,0.751811683177948,7.983351230621338,7.612856388092041,-897.0000147819519,-895.671546459198,-906.000018119812,-904.6435356140137,0.37643030285835266,0.340298593044281,1.3778434991836548,1.5270854234695435,0.2846318781375885,0.28188833594322205,0.9408643245697021,0.7793273329734802,0.7575316429138184,0.7569046020507812
