case,w_hat,rho,delta_HU,rho_struct,s,verdict,violated,laa_ref,laa_rec,laa_thick,p15_ref_HU,p15_rec_HU,psnr
CT00000100_thin.npy,6.25,0.0,-0.9344340651296079,0.3914813995361328,0.982,certified,,0.07752789556980133,0.0482260137796402,0.0,-873.0000257492065,-866.8459057807922,28.12715721130371
CT00000101_thin.npy,6.25,0.0,-0.7176179205998778,0.19814243912696838,1.431,certified,,0.00249486998654902,0.17963063716888428,0.0,-879.9999952316284,-877.5882720947266,28.170711517333984
CT00000102_thin.npy,6.25,0.0,0.3424766182433814,0.3836786150932312,1.843,certified,,1.1328332424163818,1.5613079071044922,0.0,-921.999990940094,-919.8351502418518,28.799015045166016
CT00000103_thin.npy,6.25,0.0,-0.07185115100583062,0.39560821652412415,1.649,certified,,0.2930331230163574,0.654440701007843,0.0,-916.0000085830688,-913.1103157997131,28.913799285888672
CT00000104_thin.npy,6.25,0.0,0.15427394828293473,0.4344032108783722,1.734,certified,,0.13735425472259521,0.1971796602010727,0.0,-904.9999713897705,-900.5913138389587,30.991992950439453
CT00000105_thin.npy,6.25,0.0,-0.8793812594376504,0.3693624436855316,1.822,certified,,0.499587744474411,1.060860514640808,0.0,-916.9999957084656,-916.1719679832458,28.499088287353516
CT00000106_thin.npy,6.25,0.0,-1.038448535837233,0.3923250734806061,0.922,certified,,0.10009765625,0.0946044921875,0.0,-887.0000243186951,-881.4206719398499,28.606552124023438
CT00000107_thin.npy,6.25,0.0,-0.9969682432711124,0.23528167605400085,1.666,certified,,1.3257447481155396,0.6283413171768188,0.0,-912.0000004768372,-905.0626754760742,28.609233856201172
CT00000108_thin.npy,6.25,0.0,-1.2540735770016909,0.4065496623516083,1.322,certified,,0.3363037109375,0.76904296875,0.0,-906.000018119812,-902.787983417511,28.318721771240234
CT00000109_thin.npy,6.25,0.0,-0.04568377698888071,0.39817652106285095,0.685,certified,,0.1983642578125,0.665283203125,0.0,-901.0000228881836,-902.0281434059143,27.957374572753906
CT00000110_thin.npy,6.25,0.0,-0.9029131033457816,0.4348379671573639,1.085,certified,,0.0238037109375,0.14404296875,0.0,-875.0,-871.3537454605103,26.447372436523438
CT00000111_thin.npy,6.25,0.0,-0.4799148882739246,0.4081743359565735,0.558,certified,,0.010376609861850739,0.023194774985313416,0.0,-853.9999723434448,-848.363995552063,27.21120834350586
CT00000112_thin.npy,6.25,0.0,-0.2485905133653432,0.37184077501296997,1.771,certified,,0.4359826147556305,0.3523276746273041,0.0,-908.9999794960022,-901.8755555152893,29.026994705200195
CT00000113_thin.npy,6.25,0.0,-0.6188398110680282,0.4296904504299164,0.629,certified,,0.03174234926700592,0.1226963922381401,0.0,-878.000020980835,-877.082109451294,28.401525497436523
CT00000114_thin.npy,6.25,0.0,-0.4732067754957825,0.3778306245803833,1.463,certified,,0.6144036650657654,0.3933160603046417,0.0,-907.9999923706055,-900.201678276062,28.450719833374023
CT00000115_thin.npy,6.25,0.0,0.05621562377200462,0.4638042747974396,1.323,certified,,1.0162353515625,0.3118896484375,0.0,-913.9999747276306,-903.0085802078247,28.94800567626953
CT00000116_thin.npy,6.25,0.0,-0.4844680370297283,0.4183763861656189,1.485,certified,,0.5694580078125,0.4876708984375,0.0,-912.0000004768372,-906.0094356536865,27.827653884887695
CT00000117_thin.npy,6.25,0.0,0.2144794852938503,0.3361925780773163,1.605,certified,,0.5780029296875,0.1824951171875,0.0,-897.0000147819519,-890.2116417884827,28.910940170288086
CT00000118_thin.npy,6.25,0.0,-0.28739403933286667,0.37870848178863525,0.718,certified,,0.0,0.014044257812201977,0.0,-818.0000185966492,-813.5297298431396,26.124975204467773
CT00000119_thin.npy,6.25,0.0,-0.16666619922034442,0.379046231508255,0.649,certified,,0.03173866868019104,0.012817539274692535,0.0,-824.999988079071,-819.4624185562134,28.36073112487793
CT00000120_thin.npy,6.25,0.0,-0.02341418257856276,0.38060909509658813,1.089,certified,,0.5144246816635132,0.6946566104888916,0.0,-912.9999876022339,-908.6769223213196,27.239789962768555
CT00000121_thin.npy,6.25,0.0,0.15375661314465106,0.3961121439933777,-0.147,certified,,0.08061068505048752,0.11603053659200668,0.0,-871.999979019165,-869.1603541374207,26.60111427307129
CT00000122_thin.npy,6.25,0.0,-0.15322746185120195,0.43897563219070435,1.315,certified,,1.0089111328125,1.119384765625,0.0,-920.0000166893005,-915.6484007835388,28.187904357910156
