case,w_hat,rho,delta_HU,rho_struct,s,verdict,violated,laa_ref,laa_rec,laa_thick,p15_ref_HU,p15_rec_HU,psnr
CT00000100_thin.npy,6.25,0.0,-1.6236398369073868,0.3791562616825104,1.414,certified,,0.07752789556980133,0.0708128809928894,0.0,-873.0000257492065,-866.8862581253052,28.023868560791016
CT00000101_thin.npy,6.25,0.0,-1.4658248983323574,0.19621306657791138,2.021,flagged,tail_recovery,0.00249486998654902,0.16965115070343018,0.0,-879.9999952316284,-877.3460388183594,28.147809982299805
CT00000102_thin.npy,6.25,0.0,-0.263279041973874,0.3783162832260132,2.559,flagged,tail_recovery,1.1328332424163818,1.5668011903762817,0.0,-921.999990940094,-919.3260669708252,28.675926208496094
CT00000103_thin.npy,6.25,0.0,-0.6393248331733048,0.3886107802391052,2.232,flagged,tail_recovery,0.2930331230163574,0.7313618659973145,0.0,-916.0000085830688,-913.0387902259827,29.15361213684082
CT00000104_thin.npy,6.25,0.0,-0.3134876023977995,0.4156573712825775,2.205,flagged,tail_recovery,0.13735425472259521,0.22831329703330994,0.0,-904.9999713897705,-900.7673263549805,30.85504913330078
CT00000105_thin.npy,6.25,0.0,-1.4534631045535207,0.36588209867477417,2.4,flagged,tail_recovery,0.499587744474411,1.1909488439559937,0.0,-916.9999957084656,-916.0730242729187,28.37948989868164
CT00000106_thin.npy,6.25,0.0,-1.4995314413681626,0.3852481544017792,1.487,certified,,0.10009765625,0.1141357421875,0.0,-887.0000243186951,-881.2454342842102,28.55764389038086
CT00000107_thin.npy,6.25,0.0,-1.3985008699819446,0.23046772181987762,2.333,flagged,tail_recovery,1.3257447481155396,0.6178587079048157,0.0,-912.0000004768372,-904.207706451416,28.4871768951416
CT00000108_thin.npy,6.25,0.0,-1.8231288995593786,0.39812391996383667,1.975,certified,,0.3363037109375,0.8001708984375,0.0,-906.000018119812,-902.1623134613037,28.04986000061035
CT00000109_thin.npy,6.25,0.0,-0.5483104032464325,0.388290673494339,1.573,certified,,0.1983642578125,0.6744384765625,0.0,-901.0000228881836,-900.9817242622375,27.795217514038086
CT00000110_thin.npy,6.25,0.0,-1.727373688481748,0.4318682551383972,1.591,certified,,0.0238037109375,0.17333984375,0.0,-875.0,-870.7365393638611,26.488819122314453
CT00000111_thin.npy,6.25,0.0,-1.2567393714562058,0.39707088470458984,1.06,certified,,0.010376609861850739,0.024415552616119385,0.0,-853.9999723434448,-848.1431603431702,27.127628326416016
CT00000112_thin.npy,6.25,0.0,-0.9949763771146536,0.37401220202445984,2.253,flagged,tail_recovery,0.4359826147556305,0.4243808388710022,0.0,-908.9999794960022,-901.9362926483154,28.860687255859375
CT00000113_thin.npy,6.25,0.0,-1.2322377879172564,0.4214937686920166,1.358,certified,,0.03174234926700592,0.12025467306375504,0.0,-878.000020980835,-876.2930631637573,28.41674041748047
CT00000114_thin.npy,6.25,0.0,-0.8806731784716249,0.3656933903694153,1.992,certified,,0.6144036650657654,0.4800410270690918,0.0,-907.9999923706055,-900.2060294151306,28.423431396484375
CT00000115_thin.npy,6.25,0.0,-0.3700985689647496,0.4542575776576996,2.007,certified,,1.0162353515625,0.3778076171875,0.0,-913.9999747276306,-902.7736783027649,28.927316665649414
CT00000116_thin.npy,6.25,0.0,-1.1383389355614781,0.41584649682044983,2.089,flagged,tail_recovery,0.5694580078125,0.5804443359375,0.0,-912.0000004768372,-905.9396386146545,27.706594467163086
CT00000117_thin.npy,6.25,0.0,-0.05999223867547698,0.3260054588317871,2.032,flagged,tail_recovery,0.5780029296875,0.2020263671875,0.0,-897.0000147819519,-890.2254104614258,29.172821044921875
CT00000118_thin.npy,6.25,0.0,-1.3228629250079393,0.36845171451568604,0.714,certified,,0.0,0.020150456577539444,0.0,-818.0000185966492,-814.1854405403137,26.102214813232422
