case,lung_voxels,psnr,ssim,lung_psnr,lung_ssim,laa950_ref,laa950_rec,laa910_ref,laa910_rec,p15_ref,p15_rec,p10_ref,p10_rec,laa950_ref_UL_L,laa950_rec_UL_L,laa950_ref_LL_L,laa950_rec_LL_L,laa950_ref_UL_R,laa950_rec_UL_R,laa950_ref_ML_R,laa950_rec_ML_R,laa950_ref_LL_R,laa950_rec_LL_R
CT00000100,6938648,26.47177256563819,0.6734733581542969,23.7603514975574,0.6335748434066772,0.41167962551116943,0.18490633368492126,2.760854959487915,0.24490362405776978,-873.0000257492065,-848.800003528595,-884.0000033378601,-856.7999601364136,0.38757383823394775,0.14031283557415009,0.8430002927780151,0.5793114304542542,0.11960776895284653,0.006763933226466179,0.07002589106559753,0.0,0.28632572293281555,0.0013404216151684523
CT00000101,6584511,27.167061989071435,0.7416374087333679,24.642874373651953,0.6657906770706177,0.11830794811248779,0.024603193625807762,1.7436527013778687,0.051621146500110626,-879.0000081062317,-858.2000136375427,-885.9999775886536,-863.6000156402588,0.09775461256504059,0.024328570812940598,0.18965624272823334,0.06466881930828094,0.073343925178051,0.006047656759619713,0.4561958312988281,0.0,0.06119461730122566,0.006119461730122566
CT00000102,8020076,26.87620605216416,0.7323591709136963,25.070159509499966,0.68194979429245,1.0467232465744019,0.23311500251293182,16.31847381591797,2.6328179836273193,-912.0000004768372,-893.0000066757202,-919.0000295639038,-898.0000019073486,0.6141790151596069,0.03653420880436897,1.4567208290100098,0.7455467581748962,0.6189557909965515,0.013012063689529896,1.5894629955291748,0.0004241961578372866,1.2840864658355713,0.024527672678232193
CT00000103,9087718,26.996645186885683,0.7415051460266113,25.16256873692555,0.6858990788459778,0.5295058488845825,0.048758115619421005,12.26020622253418,1.559698462486267,-907.0000052452087,-889.6000385284424,-913.9999747276306,-895.0000405311584,0.5566456317901611,0.1351892650127411,0.639686644077301,0.03374835103750229,0.37213823199272156,0.0034199391957372427,0.3932451903820038,0.012653624638915062,0.6109589338302612,0.0005116296815685928
CT00000104,9818365,27.31399434717611,0.7360339760780334,25.256179283761742,0.7049253582954407,0.605070173740387,0.0949547067284584,9.706351280212402,0.3926926851272583,-902.999997138977,-884.0000033378601,-910.0000262260437,-888.4000182151794,0.8097783923149109,0.3199683427810669,0.42488136887550354,0.004014275968074799,0.48914048075675964,0.021246448159217834,0.6083411574363708,0.0267463531345129,0.7514942288398743,0.010086662136018276
CT00000105,12045713,27.31056136846916,0.7341506481170654,25.390802916208756,0.6806376576423645,0.9783895611763,0.1910306215286255,13.904033660888672,3.7694406509399414,-908.9999794960022,-893.6000466346741,-916.9999957084656,-899.6000289916992,0.42997902631759644,0.1274034082889557,1.2296496629714966,0.5092446804046631,0.3757845461368561,0.03726715222001076,1.3067108392715454,0.0002219277957919985,1.7207494974136353,0.10208788514137268
CT00000106,8284255,26.83842530757149,0.6700565814971924,23.69003219265302,0.6174269914627075,0.34166017174720764,0.11861054599285126,3.031618356704712,0.33315005898475647,-875.0,-852.9999852180481,-885.9999775886536,-861.0000014305115,0.18292252719402313,0.06264947354793549,0.6823477745056152,0.30045825242996216,0.13216468691825867,0.007956089451909065,0.27995118498802185,0.0,0.15251195430755615,0.0024521152954548597
CT00000107,9939879,26.812975466268632,0.7054707407951355,24.565617088434266,0.6502714157104492,1.0461797714233398,0.4337879717350006,9.006306648254395,1.0543286800384521,-899.9999761581421,-880.2000284194946,-907.9999923706055,-886.5999579429626,0.6036050319671631,0.23642998933792114,1.7350367307662964,1.2936947345733643,0.6509368419647217,0.05493825674057007,0.3759426176548004,0.0,1.113537073135376,0.044925130903720856
CT00000108,10109745,27.749216765958447,0.7258772253990173,25.189439016656614,0.6859825253486633,0.9694111943244934,0.22845284640789032,11.803028106689453,1.2714464664459229,-906.000018119812,-887.0000243186951,-913.9999747276306,-892.8000330924988,0.5569319725036621,0.09715559333562851,1.5762038230895996,0.7143442034721375,0.3266132175922394,0.0020601097494363785,2.084287643432617,0.029070790857076645,1.1947096586227417,0.010844491422176361
CT00000109,9802588,27.374643560870382,0.7238479852676392,25.23526393170323,0.6871877908706665,0.7249820232391357,0.2738052308559418,7.983351230621338,1.3593859672546387,-897.0000147819519,-879.800021648407,-906.000018119812,-887.0000243186951,0.37643030285835266,0.10789007693529129,1.3778434991836548,0.8621435165405273,0.2846318781375885,0.039944253861904144,0.9408643245697021,0.01873626373708248,0.7575316429138184,0.015094197355210781
CT00000110,7408080,26.89890056915543,0.6533895134925842,24.062090204050463,0.6090441942214966,0.3651418387889862,0.2118767648935318,1.718353509902954,0.24689258635044098,-859.000027179718,-833.9999914169312,-871.999979019165,-842.6000475883484,0.3098960518836975,0.1829003393650055,0.6648805737495422,0.5232612490653992,0.13425114750862122,0.014181907288730145,0.071602463722229,0.0,0.24253322184085846,0.020831402391195297
