case,lung_voxels,psnr,ssim,lung_psnr,lung_ssim,laa950_ref,laa950_rec,laa910_ref,laa910_rec,p15_ref,p15_rec,p10_ref,p10_rec,laa950_ref_UL_L,laa950_rec_UL_L,laa950_ref_LL_L,laa950_rec_LL_L,laa950_ref_UL_R,laa950_rec_UL_R,laa950_ref_ML_R,laa950_rec_ML_R,laa950_ref_LL_R,laa950_rec_LL_R
CT00000100,6938648,26.679933170380018,0.6483906507492065,24.873921037472826,0.6693825721740723,0.41167962551116943,0.4937129020690918,2.760854959487915,2.526918888092041,-873.0000257492065,-877.9779076576233,-884.0000033378601,-886.7837190628052,0.38757383823394775,0.2963166832923889,0.8430002927780151,1.063080906867981,0.11960776895284653,0.05036116763949394,0.07002589106559753,0.018639985471963882,0.28632572293281555,0.5516709089279175
CT00000101,6584511,26.939747938572133,0.706950843334198,25.656724957945308,0.7000959515571594,0.11830794811248779,0.2157791256904602,1.7436527013778687,2.793647050857544,-879.0000081062317,-887.222945690155,-885.9999775886536,-893.2801485061646,0.09775461256504059,0.10298360884189606,0.18965624272823334,0.3415890038013458,0.073343925178051,0.0929023027420044,0.4561958312988281,0.7856942415237427,0.06119461730122566,0.2631368637084961
CT00000102,8020076,26.937389162553487,0.7015141844749451,26.11590235481156,0.7147598266601562,1.0467232465744019,1.69478440284729,16.31847381591797,26.988548278808594,-912.0000004768372,-920.2867746353149,-919.0000295639038,-925.9598851203918,0.6141790151596069,0.9159190654754639,1.4567208290100098,2.4207520484924316,0.6189557909965515,0.8174060583114624,1.5894629955291748,2.6940696239471436,1.2840864658355713,2.22027850151062
CT00000103,9087718,26.971019280425132,0.7132258415222168,26.144696549858637,0.7157940864562988,0.5295058488845825,0.7700613141059875,12.26020622253418,21.423673629760742,-907.0000052452087,-916.4652824401855,-913.9999747276306,-922.319233417511,0.5566456317901611,0.5350075960159302,0.639686644077301,1.1680169105529785,0.37213823199272156,0.48318856954574585,0.3932451903820038,0.26351481676101685,0.6109589338302612,1.2783433198928833
CT00000104,9818365,27.36504651992613,0.6979454159736633,26.341956431669267,0.7341077923774719,0.605070173740387,0.6776688098907471,9.706351280212402,16.330276489257812,-902.999997138977,-911.1683964729309,-910.0000262260437,-916.2261486053467,0.8097783923149109,0.6393229365348816,0.42488136887550354,0.68926602602005,0.48914048075675964,0.29811128973960876,0.6083411574363708,0.7541549205780029,0.7514942288398743,1.2766073942184448
CT00000105,12045713,27.308829634992698,0.6965257525444031,26.27834344802511,0.7099443674087524,0.9783895611763,1.338492751121521,13.904033660888672,24.410036087036133,-908.9999794960022,-919.7022318840027,-916.9999957084656,-926.0008335113525,0.42997902631759644,0.43533992767333984,1.2296496629714966,1.5620405673980713,0.3757845461368561,0.38125452399253845,1.3067108392715454,2.6294004917144775,1.7207494974136353,2.603947877883911
CT00000106,8284255,26.914268072281985,0.6306989789009094,24.63229243257981,0.6534108519554138,0.34166017174720764,0.3220084309577942,3.031618356704712,3.312633514404297,-875.0,-882.3485970497131,-885.9999775886536,-890.8236026763916,0.18292252719402313,0.09618858247995377,0.6823477745056152,0.687479555606842,0.13216468691825867,0.08433455228805542,0.27995118498802185,0.000624194392003119,0.15251195430755615,0.21871906518936157
CT00000107,9939879,26.840994241072025,0.6719809770584106,25.494580573204907,0.6838080286979675,1.0461797714233398,1.048352837562561,9.006306648254395,13.508745193481445,-899.9999761581421,-908.1467390060425,-907.9999923706055,-914.8859977722168,0.6036050319671631,0.45475026965141296,1.7350367307662964,1.9788365364074707,0.6509368419647217,0.2620954215526581,0.3759426176548004,0.10199422389268875,1.113537073135376,1.3116142749786377
CT00000108,10109745,27.759755353545685,0.6910536289215088,26.23197500476123,0.7180607318878174,0.9694111943244934,1.1901487112045288,11.803028106689453,18.303905487060547,-906.000018119812,-913.7673377990723,-913.9999747276306,-920.1728105545044,0.5569319725036621,0.3467785120010376,1.5762038230895996,2.3462281227111816,0.3266132175922394,0.22322146594524384,2.084287643432617,1.3657399415969849,1.1947096586227417,1.7228020429611206
CT00000109,9802588,27.239145090544564,0.6940441131591797,26.204010207484608,0.7175156474113464,0.7249820232391357,1.2635847330093384,7.983351230621338,14.156976699829102,-897.0000147819519,-908.769965171814,-906.000018119812,-916.7113304138184,0.37643030285835266,0.37301141023635864,1.3778434991836548,2.400482416152954,0.2846318781375885,0.31867051124572754,0.9408643245697021,1.4832031726837158,0.7575316429138184,1.8325788974761963
CT00000110,7408080,26.97788066236802,0.6349730491638184,24.999553847324588,0.6448944807052612,0.3651418387889862,0.31415697932243347,1.718353509902954,1.0738815069198608,-859.000027179718,-862.9087209701538,-871.999979019165,-872.4460005760193,0.3098960518836975,0.259296715259552,0.6648805737495422,0.6670455932617188,0.13425114750862122,0.054565366357564926,0.071602463722229,0.005728196818381548,0.24253322184085846,0.14919354021549225
CT00000111,7883040,27.319923364554416,0.6496718525886536,24.786194907060576,0.656994104385376,0.29361769556999207,0.21415595710277557,1.0840741395950317,0.6252790689468384,-847.9999899864197,-850.856602191925,-859.000027179718,-859.3793511390686,0.308300644159317,0.19936473667621613,0.45601212978363037,0.4172898828983307,0.10709734261035919,0.04425312951207161,0.12808078527450562,0.013819891959428787,0.249929741024971,0.1513230949640274
